timestamp,sender,receiver
0.0012016455994711972,163,187
0.010393513176176277,530,552
0.015544246964984472,54,500
0.016537458234363138,331,540
0.018239504098892224,277,482
0.02262797289424472,238,629
0.025796715882089424,235,510
0.028486790855725558,709,733
0.028813370664914444,267,699
0.029926815364095832,199,576
0.03343596988254111,199,576
0.03462870756785083,709,733
0.03522120806905972,709,733
0.03915683289368945,675,771
0.0468498751189975,29,100
0.05074902309311751,287,431
0.051257525947358884,477,552
0.05774333675702417,65,748
0.05888137876987445,287,431
0.06102065112855694,598,779
0.06252500752607973,283,419
0.06392679770787556,1,67
0.06926961130566055,80,256
0.08100691735744471,598,779
0.08270928356382584,27,79
0.08316628462738472,410,705
0.08556863056288833,279,700
0.08716587728924223,55,80
0.09609448836909387,67,694
0.09681354582309724,598,779
0.09825887282689418,340,461
0.10264636278152472,51,94
0.10351564798090196,253,337
0.10595876978503334,618,737
0.11947117076979748,155,353
0.12173087603516056,287,630
0.1276273163821961,446,585
0.12968803915712554,319,411
0.13891797800858802,608,631
0.14821572562058774,36,779
0.14910195443365307,89,213
0.15157229344050085,632,760
0.15246797614627414,98,104
0.15679261293676167,551,718
0.15755927688545635,138,151
0.159660282002555,36,779
0.16474264661471055,126,236
0.1710076570510864,96,615
0.18423649224970085,3,364
0.18449461062749226,100,563
0.1874119135406283,632,686
0.19569019953409836,100,563
0.19653658197985754,162,597
0.20123423331313667,100,563
0.20225231687227888,126,236
0.2050236448314456,126,236
0.2089511369334328,100,563
0.2097549108001922,126,236
0.2101458242204456,67,106
0.21312427461147304,343,561
0.21541233393881054,219,709
0.22293924371401472,200,342
0.2230197243558036,38,389
0.22347394486268365,219,648
0.2264616400003433,100,563
0.2404191825787225,726,736
0.2424053763680989,51,97
0.24495046979851196,404,757
0.2527912180291281,12,72
0.2542235173781714,36,289
0.26514070418145924,190,215
0.27350269953409834,213,356
0.2858309049738777,612,646
0.2877920656071778,216,536
0.28835436006386944,4,700
0.2897427617841305,263,386
0.2931528744432667,480,510
0.2969518201218722,612,642
0.2980569642119945,572,600
0.2981087862783,332,685
0.3030884376499389,193,449
0.3040172886848445,393,402
0.30723363286919164,74,364
0.3129228687286389,1,436
0.3177296886841445,601,771
0.31803980562421946,211,340
0.3212819677591333,211,340
0.3246309938033417,514,526
0.32476284431086666,211,340
0.3311575227975833,211,340
0.33180324527952504,353,354
0.3358283872074556,4,344
0.33623162713315835,260,317
0.3413923186726028,576,577
0.3437507978412833,76,338
0.3456787357727694,103,497
0.3565762460231778,331,588
0.3618512323829861,744,746
0.3633616311682584,350,364
0.3651376393768527,308,386
0.3669031736585833,84,731
0.3690404974089722,108,567
0.3742522474792278,389,466
0.3839121935102667,409,523
0.3845916372537611,211,332
0.3957728534936917,355,676
0.4050828355550778,690,754
0.4069415541489917,386,408
0.4121816370222306,690,754
0.4157121909326972,319,346
0.4213424766063695,666,690
0.4345026833481251,127,186
0.4438871928056083,131,457
0.4459978142049583,512,551
0.4535501607259112,512,551
0.4546129686302611,73,287
0.4564162446392917,661,682
0.4642241284582361,386,674
0.464820127685864,289,454
0.4709354024463222,133,320
0.4749865346484722,216,252
0.4764748897155139,128,348
0.4805613492594833,59,328
0.4832109069824222,207,328
0.4871289310190417,63,419
0.5084953260421751,112,187
0.5164191330803778,38,592
0.5191337651676611,662,757
0.5225454243686473,251,334
0.5281815863317917,272,644
0.5394999982251055,68,424
0.5420847635136722,552,694
0.5438667368226583,212,582
0.5551896109845916,73,85
0.5586833423376082,469,497
0.5655035971270667,9,131
0.5701062305106056,118,131
0.5813878495163389,688,700
0.5832519765694945,332,340
0.5866032409667973,235,552
0.5930623257822472,160,402
0.5979384312364777,287,353
0.6047774375809556,352,583
0.6074198742707584,294,593
0.6107757067680362,650,722
0.6132573290003667,500,505
0.6153976256979833,221,769
0.6199442103836278,654,752
0.6313854271173472,215,760
0.6350335555606417,160,177
0.6431228415833583,650,722
0.6500816677014027,238,305
0.6519788299004251,148,159
0.6558439795838472,38,573
0.6593557884295778,497,552
0.6627921849489222,487,512
0.6674860117832834,594,666
0.6741241692834417,487,512
0.6786644817723168,443,482
0.6804206807083555,353,657
0.6928613832924111,694,748
0.6950964507791723,271,548
0.6964956849813473,642,770
0.7021519466241194,116,334
0.7057790308528472,615,695
0.7128772507111223,126,318
0.7138959534962972,13,233
0.7141432429684528,126,318
0.7220627035697305,73,640
0.7303655928373333,126,318
0.7333473332060694,297,772
0.7356812845336055,126,318
0.7437991691960223,84,277
0.7449736502435472,38,718
0.7450659412145608,127,754
0.7619034461180362,150,602
0.7780399665567611,10,192
0.779079039891561,188,226
0.7900019068850417,409,590
0.8014777400096251,97,748
0.8029631937212416,307,531
0.809365445971489,39,250
0.8167629492945141,162,223
0.8205523623360528,127,186
0.8362752043538614,251,563
0.8385071604781694,251,563
0.8455709952778278,57,250
0.84610428823365,251,563
0.8567022633552555,251,563
0.8648842734098444,251,563
0.8862995009289861,347,523
0.8879246528943389,212,331
0.8896433851454,600,615
0.8938475155830389,215,230
0.9040961570872196,121,199
0.9177834032641526,177,229
0.9212489550643502,42,187
0.9235394835472112,234,408
0.9313214843140696,538,644
