"Start.Date" "StartStation.Id" "EndStation.Id"
4.32592415809631 164 188
37.4166474342346 531 553
55.9592890739441 55 501
59.5348496437073 332 541
65.662214756012 278 483
81.460702419281 239 630
92.8681771755219 236 511
102.552447080612 710 734
103.728134393692 268 700
107.736535310745 200 577
120.369491577148 200 577
124.663347244263 710 734
126.796349048615 710 734
140.964598417282 676 772
168.659550428391 30 101
182.696483135223 288 432
184.527093410492 478 553
207.876012325287 66 749
211.972963571548 288 432
219.674344062805 599 780
225.090027093887 284 420
230.136471748352 2 68
249.370600700378 81 257
291.624902486801 599 780
297.753420829773 28 80
299.398624658585 411 706
308.047070026398 280 701
313.797158241272 56 81
345.940158128738 68 695
348.52876496315 599 780
353.731942176819 341 462
369.526906013489 52 95
372.656332731247 254 338
381.45157122612 619 738
430.096214771271 156 354
438.231153726578 288 631
459.458338975906 447 586
466.876940965652 320 412
500.104720830917 609 632
533.576612234116 37 780
536.767035961151 90 214
545.660256385803 633 761
548.884714126587 99 105
564.453406572342 552 719
567.213396787643 139 152
574.777015209198 37 780
593.073527812958 127 237
615.627565383911 97 616
663.251372098923 4 365
664.180598258972 101 564
674.682888746262 633 687
704.484718322754 101 564
707.531695127487 163 598
724.443239927292 101 564
728.108340740204 127 237
738.085121393204 127 237
752.224092960358 101 564
755.117678880692 127 237
756.524967193604 68 107
767.247388601303 344 562
775.484402179718 220 710
802.581277370453 201 343
802.871007680893 39 390
804.506201505661 220 649
815.261904001236 101 564
865.509057283401 727 737
872.659354925156 52 98
881.821691274643 405 758
910.048384904861 13 73
915.204662561417 37 290
954.506535053253 191 216
984.609718322754 214 357
1028.99125790596 613 647
1036.05143618584 217 537
1038.07569622993 5 701
1043.07394242287 264 387
1055.35034799576 481 511
1069.02655243874 613 643
1073.00507116318 573 601
1073.19163060188 333 686
1091.11837553978 194 450
1094.46223926544 394 403
1106.04107832909 75 365
1126.5223274231 2 437
1143.82687926292 602 772
1144.94330024719 212 341
1156.61508393288 212 341
1168.67157769203 515 527
1169.14623951912 212 341
1192.1670820713 212 341
1194.49168300629 354 355
1208.98219394684 5 345
1210.43385767937 261 318
1229.01234722137 577 578
1237.50287222862 77 339
1244.44344878197 104 498
1283.67448568344 332 589
1302.66443657875 745 747
1308.10187220573 351 365
1314.49550175667 309 387
1320.8514251709 85 732
1328.5457906723 109 568
1347.30809092522 390 467
1382.08389663696 410 524
1384.52989411354 212 333
1424.78227257729 356 677
1458.29820799828 691 755
1464.98959493637 387 409
1483.85389328003 691 755
1496.56388735771 320 347
1516.83291578293 667 691
1564.20966005325 128 187
1597.99389410019 132 458
1605.59213113785 513 552
1632.78057861328 513 552
