"id" "name" "terminalName" "lat" "long" "installed" "locked" "installDate" "removalDate" "temporary" "nbBikes" "nbEmptyDocks" "nbDocks"
"44" "Bruton Street, Mayfair" "001034" "51.51073687" "-0.144165239" "true" "false" "1278687900000" "" "false" "21" "0" "21"
"45" "Boston Place, Marylebone" "001035" "51.522511" "-0.162298" "true" "false" "1278691320000" "" "false" "5" "21" "26"
"46" "Nesham Street, Wapping" "001031" "51.507131" "-0.06691" "true" "false" "1278691800000" "" "false" "3" "13" "16"
"47" "Warwick Avenue Station, Maida Vale" "001027" "51.52334476" "-0.183846408" "true" "false" "1278749160000" "" "false" "0" "18" "19"
"48" "Godliman Street, St. Paul's" "000971" "51.51248445" "-0.099141408" "true" "false" "1278749460000" "" "false" "8" "14" "25"
"49" "Curzon Street, Mayfair" "003437" "51.50706909" "-0.145904427" "true" "false" "1278749940000" "" "false" "15" "1" "16"
"50" "East Road, Hoxton" "001054" "51.52867339" "-0.087459376" "true" "false" "1278750240000" "" "false" "22" "4" "27"
"51" "Finsbury Library , Finsbury" "000986" "51.52671796" "-0.104298194" "true" "false" "1278750540000" "" "false" "20" "8" "29"
"52" "Roscoe Street, St. Luke's" "001026" "51.52295439" "-0.094934859" "true" "false" "1278750840000" "" "false" "13" "3" "18"
"53" "Grafton Street, Mayfair" "003431" "51.5099923" "-0.143495266" "true" "false" "1278752580000" "" "false" "16" "0" "18"
"54" "Golden Lane, Barbican" "000967" "51.52174785" "-0.094475072" "true" "false" "1278766740000" "" "false" "21" "6" "27"
"55" "Finsbury Circus, Liverpool Street" "000984" "51.51707521" "-0.086685542" "true" "false" "1278766980000" "" "false" "30" "1" "33"
"56" "Paddington Street, Marylebone" "001033" "51.52058381" "-0.154701411" "true" "false" "1278767220000" "" "false" "4" "11" "15"
"57" "Guilford Street , Bloomsbury" "000974" "51.52334672" "-0.120202614" "true" "false" "1278767460000" "" "false" "30" "1" "32"
"58" "New Inn Yard, Shoreditch" "001032" "51.52452699" "-0.079248081" "true" "false" "1278767700000" "" "false" "20" "0" "20"
"59" "Rodney Street, Angel" "001014" "51.53176825" "-0.114329032" "true" "false" "1278767880000" "" "false" "7" "22" "30"
